timestamp,aggr_p,aggr_s,aggr_q,aircon_p,aircon_s,aircon_q,hdryer_p,hdryer_s,hdryer_q,wboiler_p,wboiler_s,wboiler_q,ecooker_p,ecooker_s,ecooker_q,dehumid_p,dehumid_s,dehumid_q,fridge_p,fridge_s,fridge_q,aheater_p,aheater_s,aheater_q,ciron_p,ciron_s,ciron_q,rcooker_p,rcooker_s,rcooker_q,tv_p,tv_s,tv_q,vhood_p,vhood_s,vhood_q,washer_p,washer_s,washer_q
1522542250,2242.48,2232.76,-299.54,597.4949998,615.4076769,-167.2858446,0,0,0,0,0,0,1288.352423,1265.185569,-131.6444,19.23371361,17.09333016,3.839086667,-0.025033385,0.8317,0.855444615,0,0,0,0,0,0,337.4287062,334.2466023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542251,2243.45,2232.19,-300.11,597.2369998,614.9146769,-166.3578446,0,0,0,0,0,0,1289.322423,1266.155569,-131.7574,19.23371361,17.09333016,3.839086667,-0.074693385,-0.52696,-0.522025385,0,0,0,0,0,0,337.7337062,334.5526023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542252,2243.45,2232.27,-299.07,598.1319998,615.9296769,-166.9338446,0,0,0,0,0,0,1287.932423,1264.675569,-130.5054,19.23371361,17.09333016,3.839086667,0.325796615,-0.07923,-0.166005385,0,0,0,0,0,0,337.8297062,334.6466023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542253,2240.53,2230.42,-297.92,596.9389998,614.6506769,-166.4478446,0,0,0,0,0,0,1286.482423,1263.245569,-130.7784,19.23371361,17.09333016,3.839086667,0.041906615,0.76534,0.774914615,0,0,0,0,0,0,337.8307062,334.6606023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542254,2239.98,2228.88,-299.38,597.7839998,615.4016769,-166.1978446,0,0,0,0,0,0,1285.442423,1262.265569,-131.3884,19.23371361,17.09333016,3.839086667,-0.118431385,-0.3444,-0.325145385,0,0,0,0,0,0,337.6417062,334.4686023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542255,2239.86,2228.80,-298.13,596.9809998,614.5496769,-165.9028446,0,0,0,0,0,0,1286.762423,1263.515569,-130.6244,19.23371361,17.09333016,3.839086667,-0.115601385,-0.15806,-0.135345385,0,0,0,0,0,0,336.9957062,333.8036023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542256,2241.32,2230.29,-299.22,596.7379998,614.2506769,-165.6528446,0,0,0,0,0,0,1288.212423,1265.065569,-132.0194,19.23371361,17.09333016,3.839086667,-0.002223385,-0.07494,-0.074855385,0,0,0,0,0,0,337.1357062,333.9546023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542257,2242.61,2231.88,-299.53,597.5319998,615.1986769,-166.3528446,0,0,0,0,0,0,1288.312423,1265.155569,-131.8994,19.23371361,17.09333016,3.839086667,0.106216615,0.20631,0.188704615,0,0,0,0,0,0,337.4287062,334.2296023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542258,2240.62,2229.74,-301.17,596.5799998,614.3956769,-166.7958446,0,0,0,0,0,0,1287.132423,1264.035569,-132.5864,19.23371361,17.09333016,3.839086667,-0.074543385,-0.33114,-0.321175385,0,0,0,0,0,0,337.7497062,334.5496023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542259,2250.25,2239.99,-303.56,598.1719998,616.2036769,-167.8308446,0,0,0,0,0,0,1294.562423,1271.575569,-134.2574,19.23371361,17.09333016,3.839086667,-0.032393385,-0.01223,-0.003905385,0,0,0,0,0,0,338.3117062,335.1316023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542260,2327.14,2316.44,-302.01,597.0849998,615.3366769,-168.5208446,0,0,0,0,0,0,1372.242423,1348.835569,-131.8064,19.23371361,17.09333016,3.839086667,0.030716615,-0.19945,-0.210435385,0,0,0,0,0,0,338.5527062,335.3726023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542261,2324.89,2314.34,-301.63,597.2019998,615.3406769,-168.1088446,0,0,0,0,0,0,1369.862423,1346.485569,-131.9854,19.23371361,17.09333016,3.839086667,-0.094657385,-0.0905,-0.070685385,0,0,0,0,0,0,338.6907062,335.5086023,-5.308724615,0,0,0,0,0,0,0,0,0
